Symbol;Position;Type;Lots;Open time;Open price;Close time;Close price;Profit;Net profit;Rollover;S/L;T/P;Commission;Swap;Margin
GBPUSD;975614577;Buy;0.01;26.05.2023 13:03:10;1.23405;29.05.2023 19:41:44;1.2355;1.45;1.21;0;1.23203;1.23787;0;-0.24;6.17
US30;976579425;Buy;0.01;29.05.2023 13:58:01;33194;29.05.2023 19:21:06;33217;1.15;0.73;0;33154;33254;0;-0.42;8.3
USDJPY;976495346;Buy;0.02;29.05.2023 11:15:35;140.247;29.05.2023 17:03:19;140.414;2.38;2.38;0;140.1;140.475;0;0;10
GBPUSD;975614577;Buy;0.01;26.05.2023 13:03:10;1.23405;29.05.2023 14:40:24;1.23593;1.88;1.70;0;1.23203;1.23787;0;-0.18;6.17
OIL.WTI;976493247;Buy;0.01;29.05.2023 11:12:47;72.48;29.05.2023 14:38:52;72.86;3.8;3.80;0;71.98;73.29;0;0;10.87
US30;976390743;Buy;0.01;29.05.2023 09:15:25;33196;29.05.2023 13:34:56;33229;1.65;1.65;0;33154;33256;0;0;8.3
USDJPY;976386744;Buy Stop;0.02;29.05.2023 09:07:59;140.279;29.05.2023 10:21:09;140.139;-2;-2.00;0;140.139;140.525;0;0;10
US30;975519876;Sell;0.01;26.05.2023 12:04:39;33116;26.05.2023 15:24:57;33110;0.3;0.30;0;33207;32955;0;0;8.28
USDJPY;974101919;Buy;0.01;25.05.2023 11:01:11;139.693;26.05.2023 12:17:47;140.637;6.71;6.82;0;140.008;140.716;0;0.11;5
OIL.WTI;975094316;Sell Stop;0.01;26.05.2023 09:00:15;72.44;26.05.2023 09:49:05;72.68;-2.4;-2.40;0;72.68;72.1;0;0;10.87
GBPUSD;974499588;Sell Stop;0.02;25.05.2023 15:36:47;1.23214;25.05.2023 18:07:23;1.23346;-2.64;-2.64;0;1.23339;1.23018;0;0;12.32
EURUSD;973709556;Buy Stop;0.02;25.05.2023 07:29:13;1.07309;25.05.2023 10:39:03;1.07108;-4.02;-4.02;0;1.07108;1.07631;0;0;10.73
EURUSD;974019525;Buy Stop;0.02;25.05.2023 10:35:45;1.07136;25.05.2023 10:39:03;1.07108;-0.56;-0.56;0;1.07108;;0;0;10.71
US30;973710659;Sell;0.01;25.05.2023 07:30:35;32797;25.05.2023 08:30:15;32750;2.35;2.35;0;32828;32745;0;0;8.2
US30;973006718;Buy;0.01;24.05.2023 14:20:14;32875;24.05.2023 17:08:36;32876;0.05;0.05;0;32795;33002;0;0;8.22
OIL.WTI;972886379;Sell;0.01;24.05.2023 12:48:48;74.12;24.05.2023 13:57:55;73.58;5.4;5.40;0;73.66;72.98;0;0;11.12
OIL.WTI;972663062;Sell Stop;0.01;24.05.2023 11:00:05;74.15;24.05.2023 11:36:51;74.68;-5.3;-5.30;0;74.68;73.3;0;0;11.12
OIL.WTI;972525223;Buy Stop;0.01;24.05.2023 10:00:05;74.14;24.05.2023 11:00:02;74.1;-0.4;-0.40;0;74.1;74.88;0;0;11.12
GBPUSD;971500654;Sell;0.01;23.05.2023 12:24:44;1.24181;23.05.2023 15:49:36;1.24168;0.13;0.13;0;1.24357;1.23891;0;0;6.21
EURUSD;971626003;Buy;0.02;23.05.2023 14:08:40;1.07696;23.05.2023 15:40:27;1.07761;1.3;1.30;0;1.07595;1.07852;0;0;10.77
EURUSD;971471900;Sell Stop;0.01;23.05.2023 12:00:13;1.07778;23.05.2023 14:08:40;1.07696;0.82;0.82;0;1.07695;1.07418;0;0;5.39
EURUSD;971471900;Sell;0.01;23.05.2023 12:00:13;1.07778;23.05.2023 13:17:46;1.07616;1.62;1.62;0;1.07992;1.07418;0;0;5.39
GBPUSD;971500654;Sell;0.01;23.05.2023 12:24:44;1.24181;23.05.2023 13:17:40;1.2411;0.71;0.71;0;1.24357;1.23891;0;0;6.21
EURUSD;971090232;Buy Stop;0.02;23.05.2023 08:09:28;1.0778;23.05.2023 09:31:13;1.07718;-1.24;-1.24;0;1.07721;1.07982;0;0;10.78
OIL.WTI;970286734;Buy;0.01;22.05.2023 11:26:01;71.79;22.05.2023 15:02:19;72.26;4.7;4.70;0;71.29;72.97;0;0;10.77
GBPUSD;969187334;Sell;0.01;19.05.2023 13:31:56;1.24522;22.05.2023 13:05:35;1.24266;2.56;2.53;0;1.24876;1.23913;0;-0.03;6.22
GBPUSD;969187334;Sell;0.01;19.05.2023 13:31:56;1.24522;22.05.2023 11:06:55;1.24311;2.11;2.08;0;1.24876;1.23913;0;-0.03;6.23

